(a,   b,  c) X1 X2 X3 X5   X3=(I+L^c)(I+R^b)(I+L^a)  {not in doc - all poor}
------------+--+--+--+--+----
( 9, 21, 40)  7  4 19  6
( 6, 23, 27) 10  6 19  3
( 5, 23, 36)  6  7 18  8
(11, 27, 26)  5  9 18  7
( 8, 37, 21)  7  8 16  9
(11, 23, 42)  7  6 20  7
(11, 31, 18)  9  6 16 10
( 5, 15, 27)  7  2 29  4
( 8, 29, 19) 11 12 11  8
(12, 43, 19) 12  7 16  7
( 9, 21, 20)  9  8 16 10
(16, 25, 43)  5  8 21  9
(15, 17, 27)  6  3 30  6
(16, 21, 35)  6  4 26  9
(19, 43, 27)  7  3 25 10
(15, 21, 46)  4  5 29  9
(13, 19, 28)  6  7 29  6
(13, 29, 35)  5  8 25 10
( 8, 13, 25)  4  5 36  4
(12, 25, 27)  4  6 32  7
(14, 23, 33)  8  7 26  8
(11, 29, 14) 12 12 15 11
(13, 35, 30) 13 13 15  9
(13, 21, 18)  8  9 28  6
( 4, 35, 21) 14 14 12 12
(14, 15, 19)  8  8 30  6
( 6, 43, 21) 12 10 20 12
( 8, 15, 21)  8  6 30 10
( 8, 51, 21)  7  6 33  8
(17, 27, 22)  6  5 32 11
( 7, 19, 17) 12 12 19 12
(14, 13, 17)  7  8 36  6
( 3, 21, 31) 11 13 20 14
(21, 17, 24)  7  6 36 10
(21, 17, 48) 11  5 35  8
(13, 19, 47)  6  7 37 10
(17, 23, 29) 10  8 33  9
(21, 15, 29)  8  4 44  4
(23, 13, 38)  3  4 49  4
( 4, 37, 21) 18 14 17 12
( 5, 47, 23)  8 10 33 10
(11, 13, 40)  8  6 40  7
(13, 47, 23)  9  7 32 13
(16, 11, 19)  4  7 44  6
(18, 25, 21) 10  9 28 14
(13, 21, 49)  8 11 33 10
(19, 15, 46)  4  4 45  9
(21,  9, 29)  4  3 51  4
(23, 17, 25)  3  4 47 10
(24, 31, 35)  7  5 40 12
( 4, 41, 19) 14 17 20 14
( 5, 33, 29) 12 11 29 13
( 9, 29, 12) 16 19 15 15
(19, 25, 20) 13 12 22 18
(17, 45, 22) 11  6 26 23
(11, 25, 48)  8 20 24 15
( 6, 49, 29) 11  7 34 16
( 7,  9, 38)  4  5 53  6
(11,  9, 34)  6  5 52  5
(21, 17, 30)  7  5 47  9
(24, 11, 29)  9  5 50  4
( 3, 25, 20) 17 17 18 17
( 8, 31, 17) 19 21  9 20
(15, 45, 17) 15 16 29  9
(29, 27, 37)  9 12 36 13
(13, 51, 21)  6  6 46 13
( 2, 13, 23) 14 11 34 13
( 5, 45, 16) 17 16 20 19
( 8,  9, 25)  5  4 52 11
( 9, 21, 11) 18 18 19 17
(10,  7, 33)  3  4 63  2
(23, 41, 34)  9  9 30 24
(13, 9, 15)   9  8 49  7
(17, 47, 28)  9  9 44 11
( 7, 51, 24) 10 12 38 14
( 7, 11, 35)  4  8 51 12
( 9, 29, 37) 13 17 21 24
(21, 13, 52) 11 13 44  8
( 5, 41, 20) 19 17 25 16
( 6, 17, 47) 18 16 26 17
( 3, 37, 17) 20 19 21 18
( 9, 27, 10) 21 20 17 20
( 4, 35, 15) 22 27 11 20
( 4, 43, 21) 19 16 28 18
(16, 11, 27) 13  8 49 11
(11,  9, 14)  9 13 51  9
(15, 49, 26)  8  6 42 27
(24,  9, 35)  8  6 59 10
( 5,  9, 23) 11 12 50 11
(15, 13, 52) 12 12 44 16
(19, 13, 37)  6  7 60 11
(25, 11, 57)  8 10 54 12
(10, 53, 13) 14 12 43 16
(21, 15, 28)  8  5 48 24
( 9, 19, 18) 13 17 33 23
(13,  7, 17)  5  7 68  6
(13, 35, 38) 15 18 33 20
(18, 41, 23) 13 17 38 19
(23, 17, 54)  7  5 61 14
(13,  9, 50) 10 13 52 13
(15, 13, 28) 14  9 45 20
(25, 15, 47)  6  5 59 18
( 3, 29, 40) 19 19 31 20
(14, 47, 15) 12 17 44 17
(17, 47, 29) 12 11 46 22
(11, 15, 37) 10 23 38 22
( 7, 43, 28) 14 23 34 23
(23, 13, 58) 15 12 49 18
( 3, 35, 14) 28 24 15 28
( 7, 41, 40) 15 16 44 21
(19,  7, 36)  8 10 71  7
( 9,  5, 43)  9  4 78  6
( 9,  7, 18)  9 13 66  9
(16, 13, 55) 19 22 40 16
(25,  9, 39)  9  8 65 15
( 7, 19, 54) 22 31 20 25
(23, 17, 56)  9 12 61 16
( 4,  7, 19) 13 13 59 14
( 6, 55, 17) 15 14 52 18
(16,  5, 17)  6  4 80  9
(17, 23, 52) 15 22 43 19
( 5, 17, 11) 26 25 23 26
(19,  7, 55)  8 11 71 11
( 4, 37, 11) 28 26 20 28
(12,  7, 13) 11 15 61 15
(25, 33, 36) 15 20 46 21
( 7, 33,  8) 27 26 20 31
(25, 13, 29)  6 10 81  8
( 1, 19, 16) 27 32 19 28
( 7,  5, 41)  8 10 79  9
( 7, 23,  8) 30 31 17 28
( 2, 43, 27) 24 24 36 23
( 7, 11, 10) 23 23 41 21
(11,  5, 34)  9  6 88  5
( 6, 27,  7) 33 33 13 31
(20,  5, 29)  8  7 87  8
(25,  7, 49) 11 14 68 18
( 1, 23, 14) 31 30 22 29
( 3,  5, 21) 11 13 77 11
( 4, 15, 51) 27 26 30 29
(11,  5, 45)  8  9 88  7
( 9,  5, 36) 11 11 78 14
( 3, 25, 31) 22 34 34 25
( 3, 43, 11) 31 29 23 32
(12, 11, 47) 19 19 54 23
( 1, 13, 45) 27 30 36 24
( 9, 41, 45) 14 21 53 29
(19, 21, 52)  9 11 57 41
(23,  9, 38)  4  4 105 5
( 4,  9, 13) 25 22 50 22
( 4, 15, 53) 29 27 35 28
( 4, 29, 45) 24 33 30 32
(11,  5, 32)  3  3 106 7
( 1, 23, 29) 25 26 42 27
(11, 53, 23) 19 20 55 26
(12, 39, 49) 17 23 54 27
(28, 11, 53) 15 12 62 32
( 5, 11, 54) 27 29 40 27
(11,  5, 43)  7  5 106 5
(23,  9, 48) 13 11 89 12
(13, 13, 19) 24 32 59 12
( 3, 51, 16) 26 33 37 32
( 7,  7, 20) 16 17 81 14
( 7, 57, 12) 21 18 70 20
(17, 15, 58) 25 22 61 21
(23,  9, 57)  5 12 105 7
(25,  7, 46) 20 21 68 21
(16,  7, 39) 14 11 75 31
(25, 21, 44) 26 24 57 24
( 7,  5, 47) 18 18 78 19
(23, 13, 61) 23 42 49 20
( 4, 43, 31) 27 31 47 32
(15,  5, 37) 11 17 93 16
(16, 27, 53) 15 52 39 31
( 1, 11, 50) 31 36 42 31
(10, 27, 59) 31 35 35 39
( 4, 29, 49) 32 45 32 37
( 3, 29, 49) 39 35 36 37
( 7, 25, 58) 39 43 28 38
( 9, 23, 57) 30 56 33 29
(12,  3, 13) 9 12 113 15
(23, 17, 62) 27 30 61 31
( 7, 13, 58) 34 39 42 35
(19, 41, 21) 34 33 48 36
(21, 41, 23) 36 34 45 38
(31, 27, 35) 31 38 48 36
( 4, 31, 33) 37 36 47 34
(13,  3, 40) 16 16 107 12
( 8, 13, 61) 40 39 37 42
( 3, 29, 47) 36 55 32 38
(31, 25, 37) 34 33 54 41
(15, 19, 63) 41 44 35 43
( 4, 53,  7) 43 40 41 40
(13,  3, 53) 18 18 107 21
(21, 21, 34) 34 40 56 34
(25, 39, 54) 31 33 61 39
( 1, 11, 35) 37 40 50 38
( 1, 35, 11) 40 37 47 43
(12,  3, 49) 14 23 113 17
( 1,  9, 50) 40 41 50 38
(16, 47, 17) 39 38 50 43
(15, 47, 16) 37 39 59 39
( 5, 53, 20) 22 48 50 55
(22,  3, 39) 28 21 107 19
( 3, 53,  7) 44 43 44 45
(17, 47, 54) 29 32 76 40
(23, 41, 51) 30 36 65 46
( 8,  5, 59) 34 34 77 33
(18,  3, 43) 47  7 113 12
(13, 17, 43) 24 86 38 32
(17, 23, 51) 27 31 88 37
( 1,  7, 44) 37 47 64 37
( 1, 29, 34) 47 49 44 45
( 7,  5, 55) 32 33 80 41
(15, 23, 23) 41 36 73 36
( 1, 51, 13) 45 45 53 45
( 3, 61, 17) 27 27 107 27
( 1,  7,  9) 44 47 59 43 
( 3, 61, 26) 31 25 104 33
( 5, 59, 33) 34 34 87 39 
( 1,  7, 46) 42 47 64 43 
( 6,  1, 17) 16 13 153 14
(12,  1, 31) 15 11 153 19
( 6,  3, 49) 34 24 113 29
(33, 31, 43) 32 30 94 44 
( 3, 43,  6) 52 50 48 53 
( 1, 19,  6) 61 64 23 61 
( 9,  1, 27) 20 19 153 18
( 1, 59, 14) 45 42 81 43 
( 3, 25, 56) 54 63 44 57 
( 7, 27, 59) 58 62 47 59 
(14, 31, 45) 51 60 60 56 
( 3, 13, 59) 60 58 49 63 
(15,  1, 19) 27 24 153 29
( 3, 43,  4) 64 62 49 59 
( 8, 25, 59) 61 64 47 63 
( 3,  1, 11) 28 31 153 31
(11, 23, 56) 61 68 53 64 
(25, 13, 39) 58 56 81 52 
(21, 21, 37) 56 67 76 53 
(25, 13, 62) 55 56 81 60 
( 2, 31, 51) 67 61 67 59 
(28,  9, 55) 47 50 105 52
( 1, 35,  5) 71 68 49 70 
(21, 21, 38) 60 68 76 57 
(33, 31, 55) 53 53 94 66 
( 2, 31, 53) 73 61 67 66 
(18,  1, 25) 40 33 153 41
(49, 15, 61) 60 59 76 73 
(43, 21, 46) 50 50 113 60
(18, 19, 19) 67 68 74 71 
( 5, 59, 35) 59 59 106 61
( 1, 15,  4) 82 81 30 97 
(20,  1, 31) 44 44 153 53
(21, 21, 32) 71 71 85 71 
( 4, 41, 45) 66 75 90 68 
( 1,  3, 45) 63 72 103 62
(25, 27, 53) 79 79 67 84 
(21, 21, 40) 75 79 85 76 
(21,  1, 27) 49 57 153 59
(55,  9, 56) 70 69 105 83
(25, 27, 27) 82 84 76 88 
( 1, 53,  3) 90 89 85 89 
( 2, 47, 49) 88 93 108 88
( 1, 35, 34) 94 93 97 94
( 1, 45, 37) 100 100 91 100
( 5, 59, 63) 92 92 106 104
(31,  1, 51) 78 80 153 93
( 1, 15, 63) 122 123 53 122
(21, 21, 41) 105 109 112 109
(24, 25, 25) 112 113 95 115
(21, 21, 43) 110 111 113 109
( 1,  1, 54) 106 116 153 107
( 1,  1, 55) 110 116 153 109
